Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Transmission,Body type,Fuel type,Engine capacity,Mileage
6650000.0,Toyota,Passo,Unknown,2017,Automatic,Hatchback,Petrol,1000.0,80000.0
4975000.0,Kia,Sportage,Suv,2006,Automatic,Suv / 4X4,Petrol,2000.0,165000.0
6000000.0,Suzuki,Wagon R Fz,Unknown,2016,Automatic,Hatchback,Petrol,650.0,89000.0
16790000.0,Toyota,Land Cruiser Prado,Prado 120,2007,Manual,Suv / 4X4,Diesel,3000.0,195000.0
6390000.0,Suzuki,Wagon R Fz,Wagon R Fz Safety,2017,Automatic,Hatchback,Hybrid,660.0,122000.0
2500000.0,Nissan,Pulsar,Unknown,2001,Automatic,Unknown,Diesel,1200.0,240000.0
14000000.0,Micro,Almaz,Wuling,2023,Automatic,Suv / 4X4,Petrol,1500.0,19500.0
46500000.0,Toyota,Land Cruiser Prado,Sahara V8,2011,Automatic,Suv / 4X4,Diesel,4500.0,181512.0
6380000.0,Honda,Fit,Gp1 Navi Premium,2012,Automatic,Hatchback,Petrol,1330.0,120000.0
17250000.0,Honda,Crv,2018,2018,Automatic,Suv / 4X4,Petrol,1500.0,84000.0
26700000.0,Mitsubishi,Montero,Diesel-7 Seater-Auto,2013,Automatic,Unknown,Diesel,3200.0,25000.0
4990000.0,Suzuki,Swift,Swift Japan 1300,2006,Automatic,Hatchback,Petrol,1300.0,142147.0
10890000.0,Toyota,Raize,Raize High Spec,2020,Automatic,Hatchback,Petrol,1000.0,98452.0
5390000.0,Suzuki,Wagon R Fz,Safety Push 2016,2015,Automatic,Hatchback,Hybrid,650.0,108542.0
13550000.0,Ford,Raptor Ranger,Raptor Ranger,2015,Manual,Suv / 4X4,Diesel,3200.0,136521.0
43000000.0,Land Rover,Range Rover Sport,Range Rover Sport,2017,Automatic,Suv / 4X4,Diesel,2000.0,53214.0
3790000.0,Chevrolet,Cruze,Centre Antenna,2003,Automatic,Hatchback,Petrol,1300.0,118087.0
41495000.0,Toyota,Land Cruiser Prado,150 Tx L G Frontier,2017,Tiptronic,Suv / 4X4,Petrol,2700.0,39000.0
7300000.0,Toyota,Vitz,2016,2016,Automatic,Hatchback,Petrol,1000.0,86000.0
53000000.0,Toyota,Land Cruiser Sahara,Zx V8,2015,Automatic,Suv / 4X4,Petrol,4600.0,138000.0
10500000.0,Toyota,Axio,G Grade,2014,Automatic,Saloon,Hybrid,1500.0,145000.0
12250000.0,Honda,Crv,Unknown,2012,Automatic,Suv / 4X4,Petrol,1990.0,117000.0
3650000.0,Suzuki,Alto,Lxi 800,2015,Manual,Hatchback,Petrol,796.0,129000.0
7200000.0,Toyota,Axio,G Grade,2007,Automatic,Saloon,Petrol,1500.0,300000.0
28500000.0,Bmw,530E,M-Sport,2018,Automatic,Saloon,Petrol,2000.0,49000.0
11200000.0,Toyota,Premio,G Superior,2013,Automatic,Saloon,Petrol,1500.0,229990.0
82500000.0,Land Rover,Range Rover,Vogue Lwb Autobio,2023,Automatic,Suv / 4X4,Petrol,2000.0,9000.0
10590000.0,Toyota,Premio,G Superior,2013,Automatic,Saloon,Petrol,1500.0,129000.0
20700000.0,Audi,A3,Advance Sedan,2023,Automatic,Saloon,Petrol,990.0,22000.0
8500000.0,Toyota,Allion,260,2007,Automatic,Saloon,Petrol,1500.0,222000.0
11500000.0,Mitsubishi,Outlander,Plug In Hybrid,2014,Automatic,Station Wagon,Hybrid,1990.0,153000.0
2800000.0,Micro,Panda,2015,2015,Manual,Saloon,Petrol,1000.0,60600.0
